Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
LC-MS based global metabolite profiling of grapes: solvent extraction protocol optimisation,"Georgios Theodoridis, Helen Gika, Pietro Franceschi, Lorenzo Caputi, Panagiotis Arapitsas, Mattias Scholz, Domenico Masuero, Ron Wehrens, Urska Vrhovsek & Fulvio Mattivi",2012,Metabolomics,NA,NA,10.1007/s11306-011-0298-z,https://link.springer.com/article/10.1007/s11306-011-0298-z,MTBLS209,MetaboLights
Plasma metabolic profile in COPD patients: effects of exercise and endurance training,"Diego A. Rodr’guez, Gema Alcarraz-Viz‡n, Santiago D’az-Moralli, Michelle Reed, Federico P. G—mez, Francesco Falciani, Ulrich GŸnther, Josep Roca & Marta Cascante",2012,Metabolomics,NA,NA,10.1007/s11306-011-0336-x,https://link.springer.com/article/10.1007/s11306-011-0336-x,MTBLS249,MetaboLights
Nearline acquisition and processing of liquid chromatography-tandem mass spectrometry data,"Steffen Neumann, Andrea Thum & Christoph B_ttcher",2013,Metabolomics,NA,NA,10.1007/s11306-012-0401-0,https://link.springer.com/article/10.1007/s11306-012-0401-0,MTBLS2,MetaboLights
"Urinary metabolic network analysis in trauma, hemorrhagic shock, and resuscitation","Elizabeth R. Lusczek, Daniel R. Lexcen, Nancy E. Witowski, Kristine E. Mulier & Greg Beilman",2013,Metabolomics,NA,NA,10.1007/s11306-012-0441-5,https://link.springer.com/article/10.1007%2Fs11306-012-0441-5,MTBLS123,MetaboLights
Analysis of human urine reveals metabolic changes related to the development of acute kidney injury following cardiac surgery,"Helena U. Zacharias, Gunnar Schley, Jochen Hochrein, Matthias S. Klein, Carmen K_berle, Kai-Uwe Eckardt, Carsten Willam, Peter J. Oefner & Wolfram Gronwald",2013,Metabolomics,NA,NA,10.1007/s11306-012-0479-4,https://link.springer.com/article/10.1007/s11306-012-0479-4,MTBLS24,MetaboLights
Carbohydrate fed state alters the metabolomic response to hemorrhagic shock and resuscitation in liver,"Charles E. Determan Jr, Elizabeth R. Lusczek, Nancy E. Witowski, Dan Lexcen, Kristine E. Mulier & Greg J. Beilman",2014,Metabolomics,NA,NA,10.1007/s11306-014-0621-6,https://link.springer.com/article/10.1007/s11306-014-0621-6,MTBLS123,MetaboLights
"The influence of storage on the ""chemical age"" of red wines","Panagiotis Arapitsas, Giuseppe Speri, Andrea Angeli, Daniele Perenzoni & Fulvio Mattivi",2014,Metabolomics,NA,NA,10.1007/s11306-014-0638-x,https://link.springer.com/article/10.1007/s11306-014-0638-x,MTBLS55,MetaboLights
"The influence of storage on the ""chemical age"" of red wines","Panagiotis Arapitsas, Giuseppe Speri, Andrea Angeli, Daniele Perenzoni & Fulvio Mattivi",2014,Metabolomics,NA,NA,10.1007/s11306-014-0638-x,https://link.springer.com/article/10.1007/s11306-014-0638-x,MTBLS209,MetaboLights
A statistical analysis of the effects of urease pre-treatment on the measurement of the urinary metabolome by gas chromatography-mass spectrometry,"Bobbie-Jo Webb-Robertson, Young-Mo Kim, Erika M. Zink, Katherine A. Hallaian, Qibin Zhang, Ramana Madupu, Katrina M. Waters & Thomas O. Metz",2014,Metabolomics,25254001,PMC4169993,10.1007/s11306-014-0642-1,https://link.springer.com/article/10.1007/s11306-014-0642-1,MTBLS71,MetaboLights
"Metabonomics of human fecal extracts characterize ulcerative colitis, Crohn's disease and healthy individuals","Jacob Tveiten Bjerrum, Yulan Wang, Fuhua Hao, Mehmet Coskun, Christian Ludwig, Ulrich GŸnther & Ole Haagen Nielsen",2015,Metabolomics,25598765,PMC4289537,10.1007/s11306-014-0677-3,https://link.springer.com/article/10.1007/s11306-014-0677-3,MTBLS237,MetaboLights
Metabolite profiling in LC-DAD using multivariate curve resolution: the alsace package for R,"Ron Wehrens, Elisabete Carvalho & Paul D. Fraser",2015,Metabolomics,NA,NA,10.1007/s11306-014-0683-5,https://link.springer.com/article/10.1007/s11306-014-0683-5,MTBLS86,MetaboLights
Wax ester and lipophilic compound profiling of Euglena gracilis by gas chromatography-mass spectrometry: toward understanding of wax ester fermentation under hypoxia,"Takeshi Furuhashi, Takumi Ogawa, Rai Nakai, Masami Nakazawa, Atsushi Okazawa, Adchara Padermschoke, Kazuki Nishio, Masami Yokota Hirai, Masanori Arita & Daisaku Ohta",2015,Metabolomics,NA,NA,10.1007/s11306-014-0687-1.,https://link.springer.com/article/10.1007/s11306-014-0687-1,MTBLS113,MetaboLights
A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit,"Lieven Van Meulebroek, Julie Vanden Bussche, Nathalie De Clercq, Kathy Steppe & Lynn Vanhaecke",2015,Metabolomics,NA,NA,10.1007/s11306-014-0728-9,https://link.springer.com/article/10.1007/s11306-014-0728-9,MTBLS107,MetaboLights
A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit,"Lieven Van Meulebroek, Julie Vanden Bussche, Nathalie De Clercq, Kathy Steppe & Lynn Vanhaecke",2015,Metabolomics,NA,NA,10.1007/s11306-014-0728-9,https://link.springer.com/article/10.1007/s11306-014-0728-9,MTBLS109,MetaboLights
A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit,"Lieven Van Meulebroek, Julie Vanden Bussche, Nathalie De Clercq, Kathy Steppe & Lynn Vanhaecke",2015,Metabolomics,NA,NA,10.1007/s11306-014-0728-9,https://link.springer.com/article/10.1007/s11306-014-0728-9,MTBLS110,MetaboLights
A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit,"Lieven Van Meulebroek, Julie Vanden Bussche, Nathalie De Clercq, Kathy Steppe & Lynn Vanhaecke",2015,Metabolomics,NA,NA,10.1007/s11306-014-0728-9,https://link.springer.com/article/10.1007/s11306-014-0728-9,MTBLS111,MetaboLights
GC-MS based targeted metabolic profiling identifies changes in the wheat metabolome following deoxynivalenol treatment,"Benedikt Warth, Alexandra Parich, Christoph Bueschl, Denise Schoefbeck, Nora Katharina Nicole Neumann, Bernhard Kluger, Katharina Schuster, Rudolf Krska, Gerhard Adam, Marc Lemmens & Rainer Schuhmacher",2015,Metabolomics,25972772,PMC4419159,10.1007/s11306-014-0731-1,https://link.springer.com/article/10.1007/s11306-014-0731-1,MTBLS112,MetaboLights
Experiment design beyond gut feeling: statistical tests and power to detect differential metabolites in mass spectrometry data,"Diana Trutschel, Stephan Schmidt, Ivo Grosse & Steffen Neumann",2015,Metabolomics,NA,NA,10.1007/s11306-014-0742-y,https://link.springer.com/article/10.1007/s11306-014-0742-y,MTBLS74,MetaboLights
Impact of collection conditions on the metabolite content of huan urine samples as analyzed by liquid chromatography coupled to mass spectrometry and nuclear magnetic resonance spectroscopy,"Aur_lie Roux, Etienne A. Th_venot, François Seguin, Marie-Françoise Olivier & Christophe Junot",2015,Metabolomics,26366133,PMC4559108,10.1007/s11306-014-0764-5,https://link.springer.com/article/10.1007/s11306-014-0764-5,MTBLS148,MetaboLights
Absolute quantification of metabolites in tomato fruit extracts by fast 2D NMR,"Tangi J_z_quel, Catherine Deborde, Micka‘l Maucourt, Vanessa Zhendre, Annick Moing & Patrick Giraudeau",2015,Metabolomics,NA,NA,10.1007/s11306-015-0780-0,https://link.springer.com/article/10.1007/s11306-015-0780-0,MTBLS131,MetaboLights
Absolute quantification of metabolites in tomato fruit extracts by fast 2D NMR,"Tangi J_z_quel, Catherine Deborde, Micka‘l Maucourt, Vanessa Zhendre, Annick Moing & Patrick Giraudeau",2015,Metabolomics,NA,NA,10.1007/s11306-015-0780-0,https://link.springer.com/article/10.1007/s11306-015-0780-0,MTBLS132,MetaboLights
Absolute quantification of metabolites in tomato fruit extracts by fast 2D NMR,"Tangi J_z_quel, Catherine Deborde, Micka‘l Maucourt, Vanessa Zhendre, Annick Moing & Patrick Giraudeau",2015,Metabolomics,NA,NA,10.1007/s11306-015-0780-0,https://link.springer.com/article/10.1007/s11306-015-0780-0,MTBLS133,MetaboLights
Absolute quantification of metabolites in tomato fruit extracts by fast 2D NMR,"Tangi J_z_quel, Catherine Deborde, Micka‘l Maucourt, Vanessa Zhendre, Annick Moing & Patrick Giraudeau",2015,Metabolomics,NA,NA,10.1007/s11306-015-0780-0,https://link.springer.com/article/10.1007/s11306-015-0780-0,MTBLS134,MetaboLights
NMR based metabolomics study of Y2 receptor activation by neuropeptide Y in the SK-N-BE2 human neuroblastoma cell line,"Bo Wang, Sulaiman Sheriff, Ambikaipakan Balasubramaniam & Michael A. Kennedy",2015,Metabolomics,NA,NA,10.1007/s11306-015-0782-y,https://link.springer.com/article/10.1007/s11306-015-0782-y,MTBLS104,MetaboLights
Changes in urine headspace composition as an effect of strenuous walking,"Devasena Samudrala, Brigitte Geurts, Phil A. Brown, Ewa Szyma_ska, Julien Mandon, Jeroen Jansen, Lutgarde Buydens, Frans J. M. Harren & Simona M. Cristescu",2015,Metabolomics,26491419,PMC4605988,10.1007/s11306-015-0813-8,https://link.springer.com/article/10.1007/s11306-015-0813-8,MTBLS164,MetaboLights
Metabolic profiling reveals anomalous energy metabolism and oxidative stress pathways in chronic fatigue syndrome patients,"Christopher W. Armstrong, Neil R. McGregor, Donald P. Lewis, Henry L. Butt & Paul R. Gooley",2015,Metabolomics,NA,NA,10.1007/s11306-015-0816-5,https://link.springer.com/article/10.1007/s11306-015-0816-5,MTBLS161,MetaboLights
Quantitative 1H NMR metabolome profiling of Thai Jasmine rice (Oryza sativa) reveals primary metabolic response during brown planthopper infestation,"Umaporn Uawisetwathana, Stewart F. Graham, Wintai Kamolsukyunyong, Wissarut Sukhaket, Amornpan Klanchui, Theerayut Toojinda, Apichart Vanavichit, Nitsara Karoonuthaisiri & Christopher T. Elliott",2015,Metabolomics,NA,NA,10.1007/s11306-015-0817-4,https://link.springer.com/article/10.1007/s11306-015-0817-4,MTBLS151,MetaboLights
Matrix effect on chemical isotope labeling and its implication in metabolomic sample preparation for quantitative metabolomics,Wei Han & Liang Li,2015,Metabolomics,NA,NA,10.1007/s11306-015-0826-3,https://link.springer.com/article/10.1007/s11306-015-0826-3,MTBLS194,MetaboLights
Metabolic responses induced by DNA damage and poly (ADP-ribose) polymerase (PARP) inhibition in MCF-7 cells,Vijesh J. Bhute & Sean P. Palecek,2015,Metabolomics,26478723,PMC4606886,10.1007/s11306-015-0831-6,https://link.springer.com/article/10.1007/s11306-015-0831-6,MTBLS177,MetaboLights
Metabolomics profiling of pre-and post-anesthesia plasma samples of colorectal patients obtained via Ficoll separation,"Veronica Ghini, Florian T. Unger, Leonardo Tenori, Paola Turano, Hartmut Juhl & Kerstin A. David",2015,Metabolomics,26491424,PMC4605980,10.1007/s11306-015-0832-5,https://link.springer.com/article/10.1007%2Fs11306-015-0832-5,MTBLS172,MetaboLights
Assessment of automated trimethylsilyl derivatization protocols for GCäóñMS-based untargeted metabolomic analysis of urine,"Hayley Abbiss, Catherine Rawlinson, Garth L. Maker & Robert Trengove",2015,Metabolomics,NA,NA,10.1007/s11306-015-0839-y,https://link.springer.com/article/10.1007/s11306-015-0839-y,MTBLS171,MetaboLights
The human saliva metabolome,"Zerihun T. Dame, Farid Aziat, Rupasri Mandal, Ram Krishnamurthy, Souhaila Bouatra, Shima Borzouie, An Chi Guo, Tanvir Sajed, Lu Deng, Hong Lin, Philip Liu, Edison Dong & David S. Wishart",2015,Metabolomics,NA,NA,10.1007/s11306-015-0840-5,https://link.springer.com/article/10.1007/s11306-015-0840-5,MTBLS100,MetaboLights
The use of metabolomics to monitor simultaneous changes in metabolic variables following supramaximal low volume high intensity exercise,"Jessica Danaher, Tracey Gerber, R. Mark Wellard, Christos G. Stathis & Matthew B. Cooke",2016,Metabolomics,NA,NA,10.1007/s11306-015-0883-7,https://link.springer.com/article/10.1007/s11306-015-0883-7,MTBLS191,MetaboLights
Metabolic fingerprinting reveals a novel candidate biomarker for prednisolone treatment in cattle,"Nathalie De Clercq, Julie Vanden Bussche, Lieven Van Meulebroek, Siska Croubels, Philippe Delahaut, Dieter Buyst, Jos_ Martins, Jianru Stahl-Zeng & Lynn Vanhaecke",2016,Metabolomics,NA,NA,10.1007/s11306-015-0887-3,https://link.springer.com/article/10.1007/s11306-015-0887-3,MTBLS185,MetaboLights
Large-scale non-targeted metabolomic profiling in three human population-based studies,"Andrea Ganna, Tove Fall, Samira Salihovic, Woojoo Lee, Corey D. Broeckling, Jitender Kumar, Sara H_gg, Markus Stenemo, Patrik K. E. Magnusson, Jessica E. Prenni, Lars Lind, Yudi Pawitan & Erik Ingelsson",2016,Metabolomics,NA,NA,10.1007/s11306-015-0893-5,https://link.springer.com/article/10.1007/s11306-015-0893-5,MTBLS90,MetaboLights
Large-scale non-targeted metabolomic profiling in three human population-based studies,"Andrea Ganna, Tove Fall, Samira Salihovic, Woojoo Lee, Corey D. Broeckling, Jitender Kumar, Sara H_gg, Markus Stenemo, Patrik K. E. Magnusson, Jessica E. Prenni, Lars Lind, Yudi Pawitan & Erik Ingelsson",2016,Metabolomics,NA,NA,10.1007/s11306-015-0893-5,https://link.springer.com/article/10.1007/s11306-015-0893-5,MTBLS93,MetaboLights
Large-scale non-targeted metabolomic profiling in three human population-based studies,"Andrea Ganna, Tove Fall, Samira Salihovic, Woojoo Lee, Corey D. Broeckling, Jitender Kumar, Sara H_gg, Markus Stenemo, Patrik K. E. Magnusson, Jessica E. Prenni, Lars Lind, Yudi Pawitan & Erik Ingelsson",2016,Metabolomics,NA,NA,10.1007/s11306-015-0893-5,https://link.springer.com/article/10.1007/s11306-015-0893-5,MTBLS124,MetaboLights
Urinary metabolomic profiling to identify biomarkers of a flavonoid-rich and flavonoid-poor fruits and vegetables diet in adults: the FLAVURS trial,"Maria M. Ulaszewska, Kajetan Trost, Jan Stanstrup, Kieran M. Tuohy, Pietro Franceschi, Mary Foong-Fong Chong, Trevor George, Anne Marie Minihane, Julie A. Lovegrove & Fulvio Mattivi",2016,Metabolomics,NA,NA,10.1007/s11306-015-0935-z,https://link.springer.com/article/10.1007/s11306-015-0935-z,MTBLS198,MetaboLights
Temporal characterization of serum metabolite signatures in lung cancer patients undergoing treatment,"Desir_e Hao, M. Omair Sarfaraz, Farshad Farshidfar, D. Gwyn Bebb, Camelia Y. Lee, Cynthia M. Card, Marilyn David & Aalim M. Weljie",2016,Metabolomics,27073350,PMC4819600,10.1007/s11306-016-0961-5,https://link.springer.com/article/10.1007/s11306-016-0961-5,MTBLS200,MetaboLights
Untangling the wine metabolome by combining untargeted SPME-GCxGC-TOF-MS and sensory analysis to profile Sauvignon blanc co-fermented with seven different yeasts,"Margaret E. Beckner Whitener, Jan Stanstrup, Valeria Panzeri, Silvia Carlin, Benoit Divol, Maret Du Toit & Urska Vrhovsek",2016,Metabolomics,NA,NA,10.1007/s11306-016-0962-4,https://link.springer.com/article/10.1007/s11306-016-0962-4,MTBLS212,MetaboLights
Metabolic analysis of the response of Pseudomonas putida DOT-T1E strains to toluene using Fourier transform infrared spectroscopy and gas chromatography mass spectrometry,"Ali Sayqal, Yun Xu, Drupad K. Trivedi, Najla AlMasoud, David I. Ellis, Howbeer Muhamadali, Nicholas J. W. Rattray, Carole Webb & Royston Goodacre",2016,Metabolomics,27398079,PMC4916193,10.1007/s11306-016-1054-1,https://link.springer.com/article/10.1007/s11306-016-1054-1,MTBLS319,MetaboLights
Normalization techniques for PARAFAC modeling of urine metabolomic data,"Al_b_ta Gardlo, Age K. Smilde, Karel Hron, Marcela Hrd‡, Radana Karl’kov‡, David Friedeck_ & Tom‡_ Adam",2016,Metabolomics,NA,NA,10.1007/s11306-016-1059-9,https://link.springer.com/article/10.1007/s11306-016-1059-9,MTBLS290,MetaboLights
Treatment of lean and diet-induced obesity (DIO) mice with a novel stable obestatin analogue alters plasma metabolite levels as detected by untargeted LC-MS metabolomics,"Elaine Cowan, Praveen Kumar, Kerry J. Burch, David J. Grieve, Brian D. Green & Stewart F. Graham",2016,Metabolomics,27471436,PMC4932145,10.1007/s11306-016-1063-0,https://link.springer.com/article/10.1007/s11306-016-1063-0,MTBLS334,MetaboLights
Urinary antihypertensive drug metabolite screening using molecular networking coupled to high-resolution mass spectrometry fragmentation,"Justin J. J. van der Hooft, Sandosh Padmanabhan, Karl E. V. Burgess & Michael P. Barrett",2016,Metabolomics,27471437,PMC4932139,10.1007/s11306-016-1064-z,https://link.springer.com/article/10.1007%2Fs11306-016-1064-z,MTBLS307,MetaboLights
Untargeted metabolomics approach using UPLC-ESI-QTOF-MS to explore the metabolome of fresh-cut iceberg lettuce,"Carlos J. Garcia, Roc’o Garc’a-Villalba, Yolanda Garrido, Maria I. Gil & Francisco A. Tom‡s-Barber‡n",2016,Metabolomics,NA,NA,10.1007/s11306-016-1082-x,https://link.springer.com/article/10.1007/s11306-016-1082-x,MTBLS343,MetaboLights
Discovery of A-type procyanidin dimers in yellow raspberries by untargeted metabolomics and correlation based data analysis,"Elisabete Carvalho, Pietro Franceschi, Antje Feller, Lorena Herrera, Luisa Palmieri, Panagiotis Arapitsas, Samantha Riccadonna & Stefan Martens",2016,Metabolomics,27547172,PMC5047924,10.1007/s11306-016-1090-x,https://link.springer.com/article/10.1007/s11306-016-1090-x,MTBLS333,MetaboLights
"Metabolic changes of genetically engineered grapes (Vitis vinifera L.) studied by 1H-NMR, metabolite heatmaps and iPLS","Gianfranco Picone, Francesco Savorani, Alessia Trimigno, Bruno Mezzetti, Francesco Capozzi & S¿ren Balling Engelsen",2016,Metabolomics,NA,NA,10.1007/s11306-016-1095-5,https://link.springer.com/article/10.1007/s11306-016-1095-5,MTBLS346,MetaboLights
"Post-mortem changes in the metabolomic compositions of rabbit blood, aqueous and vitreous humors","Ekaterina A. Zelentsova, Lyudmila V. Yanshole, Olga A. Snytnikova, Vadim V. Yanshole, Yuri P. Tsentalovich & Renad Z. Sagdeev",2016,Metabolomics,NA,NA,10.1007/s11306-016-1118-2,https://link.springer.com/article/10.1007/s11306-016-1118-2,MTBLS349,MetaboLights
A novel targeted/untargeted GC-Orbitrap metabolomics methodology applied to Candida albicans and Staphylococcus aureus biofilms,"Stefan Weidt, Jennifer Haggarty, Ryan Kean, Cristian I. Cojocariu, Paul J. Silcock, Ranjith Rajendran, Gordon Ramage & Karl E. V. Burgess",2016,Metabolomics,28003796,PMC5097782,10.1007/s11306-016-1134-2,https://link.springer.com/article/10.1007/s11306-016-1134-2,MTBLS370,MetaboLights
Detection of adulteration in Iranian saffron samples by 1H NMR spectroscopy and multivariate data analysis techniques,"Reza Dowlatabadi, Farshad Farshidfar, Zohreh Zare, Morteza Pirali, Maryam Rabiei, Mohammad Reza Khoshay & Hans J. Vogel",2017,Metabolomics,NA,NA,10.1007/s11306-016-1155-x,https://link.springer.com/article/10.1007/s11306-016-1155-x,MTBLS331,MetaboLights
Metabolomic analysis of the mechanism of action of yerba mate aqueous extract on Salmonella enterica serovar Typhimurium,"Caroline S. Rempe, Scott C. Lenaghan, Kellie P. Burris & C. Neal Stewart Jr.",2017,Metabolomics,NA,NA,10.1007/s11306-016-1159-6,https://link.springer.com/article/10.1007/s11306-016-1159-6,MTBLS359,MetaboLights
Serum-based metabolomics characterization of pigs treated with ractopamine,"Tao Peng, Anne-Lise Royer, Yann Guitton, Bruno Le Bizec & Gaud Dervilly-Pinel",2017,Metabolomics,NA,NA,10.1007/s11306-017-1212-0,https://link.springer.com/article/10.1007/s11306-017-1212-0,MTBLS384,MetaboLights
